"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"13o5.00","Preferred method of communication: Makaton","13o5.00",,"35","IMRD"
"13o6.00","Preferred method of communication: British Sign Language","13o6.00",,"111","IMRD"
"13o8500","Uses British Sign Language interpreter","13o8500",,"116","IMRD"
"13o8J00","Uses deafblind intervener","13o8J00",,"4","IMRD"
"13o8M00","Uses sign language","13o8M00",,"29","IMRD"
"13o8N00","Uses Deafblind Manual Alphabet","13o8N00",,"0","IMRD"
"13ZM.00","Using British sign language","13ZM.00",,"1084","IMRD"
"13ZP.00","Using Makaton sign language","13ZP.00",,"160","IMRD"
"1493.00","H/O: hearing problem","1493.00",,"57655","IMRD"
"1C12.00","Hearing difficulty","1C12.00",,"416008","IMRD"
"1C13.00","Deafness","1C13.00",,"98970","IMRD"
"1C13.11","Deafness symptom","1C13.11",,"41021","IMRD"
"1C13100","Unilateral deafness","1C13100",,"22341","IMRD"
"1C13200","Partial deafness","1C13200",,"3081","IMRD"
"1C13300","Bilateral deafness","1C13300",,"3803","IMRD"
"1C16.00","Deteriorating hearing","1C16.00",,"4351","IMRD"
"1C17.00","Hearing aid problem","1C17.00",,"609","IMRD"
"1C18.00","Difficulty hearing with background noise","1C18.00",,"227","IMRD"
"1C19.00","Difficulty hearing whispers","1C19.00",,"127","IMRD"
"2BL..11","O/E - deaf","2BL..11",,"5294","IMRD"
"2BL2.00","O/E - slightly deaf","2BL2.00",,"17794","IMRD"
"2BL3.00","O/E - significantly deaf","2BL3.00",,"6261","IMRD"
"2BL4.00","O/E - very deaf","2BL4.00",,"716","IMRD"
"2BL5.00","O/E - completely deaf","2BL5.00",,"217","IMRD"
"2BL6.00","O/E - patient noted to be lip reading","2BL6.00",,"211","IMRD"
"2BM2.00","O/E -tune fork=conductive deaf","2BM2.00",,"709","IMRD"
"2BM2.11","O/E - conductive deafness","2BM2.11",,"3973","IMRD"
"2BM3.00","O/E tune fork=perceptive deaf","2BM3.00",,"203","IMRD"
"2BM3.11","O/E - perceptive deafness","2BM3.11",,"541","IMRD"
"2BM4.00","O/E - High tone deafness","2BM4.00",,"1070","IMRD"
"2DG..00","Hearing aid worn","2DG..00",,"36654","IMRD"
"2DH0.00","Uses hearing loop","2DH0.00",,"30","IMRD"
"2DH1.00","Does use hearing aid","2DH1.00",,"267","IMRD"
"7308400","Placement of hearing implant in external ear","7308400",,"106","IMRD"
"7308500","Attention to hearing implant in external ear","7308500",,"12","IMRD"
"7308600","Removal of hearing implant from external ear","7308600",,"4","IMRD"
"7311A00","Insertn bone anchors subcutaneous bone anchored hearing aid","7311A00",,"1266","IMRD"
"7317C00","Placement of hearing implant in middle ear","7317C00",,"124","IMRD"
"7317D00","Attention to hearing implant in middle ear","7317D00",,"12","IMRD"
"7317E00","Removal of hearing implant from middle ear","7317E00",,"10","IMRD"
"7319.00","Attachment of bone anchored hearing prosthesis","7319.00",,"70","IMRD"
