"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"14A3.00","H/O: myocardial infarct <60","14A3.00",,"3265","IMRD"
"14A4.00","H/O: myocardial infarct >60","14A4.00",,"2300","IMRD"
"14AH.00","H/O: Myocardial infarction in last year","14AH.00",,"187","IMRD"
"14AT.00","History of myocardial infarction","14AT.00",,"477","IMRD"
"323..00","ECG: myocardial infarction","323..00",,"449","IMRD"
"3232.00","ECG: old myocardial infarction","3232.00",,"43","IMRD"
"3233.00","ECG: antero-septal infarct.","3233.00",,"11","IMRD"
"3234.00","ECG:posterior/inferior infarct","3234.00",,"9","IMRD"
"3235.00","ECG: subendocardial infarct","3235.00",,"7","IMRD"
"3236.00","ECG: lateral infarction","3236.00",,"11","IMRD"
"323Z.00","ECG: myocardial infarct NOS","323Z.00",,"3","IMRD"
"889A.00","Diab mellit insulin-glucose infus acute myocardial infarct","889A.00",,"7","IMRD"
"G30..00","Acute myocardial infarction","G30..00",,"290662","IMRD"
"G30..11","Attack - heart","G30..11",,"465","IMRD"
"G30..12","Coronary thrombosis","G30..12",,"2984","IMRD"
"G30..13","Cardiac rupture following myocardial infarction (MI)","G30..13",,"172","IMRD"
"G30..14","Heart attack","G30..14",,"5436","IMRD"
"G30..15","MI - acute myocardial infarction","G30..15",,"102172","IMRD"
"G30..16","Thrombosis - coronary","G30..16",,"411","IMRD"
"G30..17","Silent myocardial infarction","G30..17",,"500","IMRD"
"G300.00","Acute anterolateral infarction","G300.00",,"2691","IMRD"
"G301.00","Other specified anterior myocardial infarction","G301.00",,"2510","IMRD"
"G301000","Acute anteroapical infarction","G301000",,"137","IMRD"
"G301100","Acute anteroseptal infarction","G301100",,"1590","IMRD"
"G301z00","Anterior myocardial infarction NOS","G301z00",,"5713","IMRD"
"G302.00","Acute inferolateral infarction","G302.00",,"2346","IMRD"
"G303.00","Acute inferoposterior infarction","G303.00",,"846","IMRD"
"G304.00","Posterior myocardial infarction NOS","G304.00",,"1086","IMRD"
"G305.00","Lateral myocardial infarction NOS","G305.00",,"810","IMRD"
"G306.00","True posterior myocardial infarction","G306.00",,"58","IMRD"
"G307.00","Acute subendocardial infarction","G307.00",,"4039","IMRD"
"G307000","Acute non-Q wave infarction","G307000",,"1014","IMRD"
"G307100","Acute non-ST segment elevation myocardial infarction","G307100",,"81416","IMRD"
"G308.00","Inferior myocardial infarction NOS","G308.00",,"17586","IMRD"
"G309.00","Acute Q-wave infarct","G309.00",,"122","IMRD"
"G30A.00","Mural thrombosis","G30A.00",,"787","IMRD"
"G30B.00","Acute posterolateral myocardial infarction","G30B.00",,"75","IMRD"
"G30X.00","Acute transmural myocardial infarction of unspecif site","G30X.00",,"220","IMRD"
"G30X000","Acute ST segment elevation myocardial infarction","G30X000",,"32296","IMRD"
"G30y.00","Other acute myocardial infarction","G30y.00",,"732","IMRD"
"G30y000","Acute atrial infarction","G30y000",,"124","IMRD"
"G30y100","Acute papillary muscle infarction","G30y100",,"6","IMRD"
"G30y200","Acute septal infarction","G30y200",,"232","IMRD"
"G30yz00","Other acute myocardial infarction NOS","G30yz00",,"845","IMRD"
"G30z.00","Acute myocardial infarction NOS","G30z.00",,"82423","IMRD"
"G310.00","Postmyocardial infarction syndrome","G310.00",,"124","IMRD"
"G310.11","Dressler's syndrome","G310.11",,"560","IMRD"
"G31y100","Microinfarction of heart","G31y100",,"20","IMRD"
"G32..00","Old myocardial infarction","G32..00",,"11331","IMRD"
"G32..11","Healed myocardial infarction","G32..11",,"345","IMRD"
"G32..12","Personal history of myocardial infarction","G32..12",,"1063","IMRD"
"G35..00","Subsequent myocardial infarction","G35..00",,"339","IMRD"
"G350.00","Subsequent myocardial infarction of anterior wall","G350.00",,"55","IMRD"
"G351.00","Subsequent myocardial infarction of inferior wall","G351.00",,"58","IMRD"
"G353.00","Subsequent myocardial infarction of other sites","G353.00",,"2","IMRD"
"G35X.00","Subsequent myocardial infarction of unspecified site","G35X.00",,"15","IMRD"
"G36..00","Certain current complication follow acute myocardial infarct","G36..00",,"29","IMRD"
"G360.00","Haemopericardium/current comp folow acut myocard infarct","G360.00",,"145","IMRD"
"G361.00","Atrial septal defect/curr comp folow acut myocardal infarct","G361.00",,"42","IMRD"
"G362.00","Ventric septal defect/curr comp fol acut myocardal infarctn","G362.00",,"46","IMRD"
"G363.00","Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI","G363.00",,"3","IMRD"
"G364.00","Ruptur chordae tendinae/curr comp fol acute myocard infarct","G364.00",,"4","IMRD"
"G365.00","Rupture papillary muscle/curr comp fol acute myocard infarct","G365.00",,"4","IMRD"
"G366.00","Thrombosis atrium,auric append&vent/curr comp foll acute MI","G366.00",,"55","IMRD"
"G38..00","Postoperative myocardial infarction","G38..00",,"239","IMRD"
"G380.00","Postoperative transmural myocardial infarction anterior wall","G380.00",,"13","IMRD"
"G381.00","Postoperative transmural myocardial infarction inferior wall","G381.00",,"29","IMRD"
"G382.00","Postoperative transmural myocardial infarction other sites","G382.00",,"2","IMRD"
"G383.00","Postoperative transmural myocardial infarction unspec site","G383.00",,"4","IMRD"
"G384.00","Postoperative subendocardial myocardial infarction","G384.00",,"26","IMRD"
"G38z.00","Postoperative myocardial infarction, unspecified","G38z.00",,"24","IMRD"
"G501.00","Post infarction pericarditis","G501.00",,"68","IMRD"
"Gyu3400","[X]Acute transmural myocardial infarction of unspecif site","Gyu3400",,"4","IMRD"
"Gyu3500","[X]Subsequent myocardial infarction of other sites","Gyu3500",,"2","IMRD"
"Gyu3600","[X]Subsequent myocardial infarction of unspecified site","Gyu3600",,"2","IMRD"
