"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"141E.00","History of hepatitis B","141E.00",,"5201","IMRD"
"43B4.00","Hepatitis B surface antig +ve","43B4.00",,"151","IMRD"
"7Q05200","Hepatitis B treatment drugs band 1","7Q05200",,"14","IMRD"
"9kZ..11","Hepatitis B screening positive","9kZ..11",,"116","IMRD"
"A702.00","Viral hepatitis B with coma","A702.00",,"14","IMRD"
"A703.00","Viral (serum) hepatitis B","A703.00",,"10037","IMRD"
"A705100","Acute delta-(super)infection of hepatitis B carrier","A705100",,"92","IMRD"
"A707000","Chronic viral hepatitis B with delta-agent","A707000",,"74","IMRD"
"A707100","Chronic viral hepatitis B without delta-agent","A707100",,"160","IMRD"
"A707300","Chronic viral hepatitis B","A707300",,"349","IMRD"
"Q409100","Congenital hepatitis B infection","Q409100",,"142","IMRD"
"ZV02B00","[V]Hepatitis B carrier","ZV02B00",,"7251","IMRD"
