"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"3672","[M]Myeloma NOS","BBn0.12",,"8984","CPRD_GOLD"
"4944","Multiple myeloma","B630.00",,"19616","CPRD_GOLD"
"15211","Myelomatosis","B630.12",,"452","CPRD_GOLD"
"18744","[M]Multiple myeloma","BBn0.11",,"874","CPRD_GOLD"
"19028","Solitary myeloma","B630100",,"569","CPRD_GOLD"
"21329","Plasmacytoma NOS","B630200",,"893","CPRD_GOLD"
"22158","Malignant plasma cell neoplasm, extramedullary plasmacytoma","B630000",,"131","CPRD_GOLD"
"26135","[M] Alpha heavy chain disease","BBm6.00",,"14","CPRD_GOLD"
"31671","[M]Plasma cell myeloma","BBn0.00",,"1031","CPRD_GOLD"
"37182","Multiple myeloma and immunoproliferative neoplasms","B63..00",,"167","CPRD_GOLD"
"38321","Plasmacytoma NOS","B936.12",,"125","CPRD_GOLD"
"39187","Plasma cell leukaemia","B631.00",,"174","CPRD_GOLD"
"39490","[M]Plasmacytic myeloma","BBn0.14",,"50","CPRD_GOLD"
"43312","Myeloma - solitary","B936.11",,"127","CPRD_GOLD"
"43450","Immunoproliferative neoplasm or myeloma NOS","B63z.00",,"65","CPRD_GOLD"
"43459","[M]Plasma cell tumours","BBn..00",,"47","CPRD_GOLD"
"43552","Kahler's disease","B630.11",,"45","CPRD_GOLD"
"46042","Lambda light chain myeloma","B630300",,"297","CPRD_GOLD"
"52593","[M] Gamma heavy chain disease","BBmE.00",,"9","CPRD_GOLD"
"52946","Bone marrow: myeloma cells","4C53.00",,"51","CPRD_GOLD"
"53647","[M]Myelomatosis","BBn0.13",,"21","CPRD_GOLD"
"59663","Neoplasm of uncertain behaviour of plasma cells","B936.00",,"69","CPRD_GOLD"
"60433","Osteoporosis in multiple myelomatosis","N330900",,"22","CPRD_GOLD"
"63864","[M]Plasmacytoma NOS","BBn2.00",,"36","CPRD_GOLD"
"64068","[M]Plasma cell tumour NOS","BBnz.00",,"5","CPRD_GOLD"
"64567","Other immunoproliferative neoplasms","B63y.00",,"18","CPRD_GOLD"
"64618","[M]Plasma cell leukaemias","BBr3.00",,"6","CPRD_GOLD"
"73135","[M]Solitary myeloma","BBn2.12",,"5","CPRD_GOLD"
"99067","Gamma heavy chain disease","C333200",,"2","CPRD_GOLD"
"99702","[M]Plasma cell tumour, malignant","BBn3.00",,"3","CPRD_GOLD"
"101350","Alpha heavy chain disease","C333100",,"2","CPRD_GOLD"
"102164","[M]Monostotic myeloma","BBn2.11",,"12","CPRD_GOLD"
"104418","Solitary plasmacytoma","B630400",,"28","CPRD_GOLD"
"108102","Heavy chain disease","C333300",,"8","CPRD_GOLD"
"110349","[M]Plasma cell leukaemia NOS","BBr3z00",,"1","CPRD_GOLD"
"113633","[M]Plasma cell leukaemia","BBr3000",,"2","CPRD_GOLD"
"114477","Extramedullary plasmacytoma","B630011",,"3","CPRD_GOLD"
