"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"6648.00","Coeliac disease monitoring","6648.00",,"2727","IMRD"
"6648000","Coeliac disease annual review","6648000",,"375","IMRD"
"68W4.00","Coeliac disease autoantibody profile positive","68W4.00",,"586","IMRD"
"8IAp.00","Coeliac disease annual review declined","8IAp.00",,"12","IMRD"
"9mB..00","Coeliac disease monitoring invitation","9mB..00",,"178","IMRD"
"9mB0.00","Coeliac disease monitoring telephone invitation","9mB0.00",,"0","IMRD"
"9mB1.00","Coeliac disease monitoring invitation first letter","9mB1.00",,"356","IMRD"
"9mB2.00","Coeliac disease monitoring invitation second letter","9mB2.00",,"86","IMRD"
"9mB3.00","Coeliac disease monitoring invitation third letter","9mB3.00",,"39","IMRD"
"J690.00","Coeliac disease","J690.00",,"83031","IMRD"
"J690.11","Coeliac rickets","J690.11",,"1","IMRD"
"J690000","Congenital coeliac disease","J690000",,"37","IMRD"
"J690100","Acquired coeliac disease","J690100",,"92","IMRD"
"J690z00","Coeliac disease NOS","J690z00",,"1638","IMRD"
"ZC2C200","Dietary advice for coeliac disease","ZC2C200",,"512","IMRD"
