"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1461.00","H/O: dementia","1461.00",,"21608","IMRD"
"66h..00","Dementia monitoring","66h..00",,"17860","IMRD"
"6AB..00","Dementia annual review","6AB..00",,"326761","IMRD"
"8BM0200","Dementia medication review","8BM0200",,"799","IMRD"
"8BPa.00","Antipsychotic drug therapy for dementia","8BPa.00",,"9","IMRD"
"8CMe000","Dementia advance care plan","8CMe000",,"1470","IMRD"
"8CMG200","Review of dementia advance care plan","8CMG200",,"11560","IMRD"
"8CMZ.00","Dementia care plan","8CMZ.00",,"25280","IMRD"
"8CMZ000","Dementia care plan agreed","8CMZ000",,"5263","IMRD"
"8CMZ100","Dementia care plan reviewed","8CMZ100",,"31326","IMRD"
"8CMZ200","Dementia care plan declined","8CMZ200",,"250","IMRD"
"8CMZ300","Dementia care plan review declined","8CMZ300",,"146","IMRD"
"8CSA.00","Dementia advance care plan agreed","8CSA.00",,"4451","IMRD"
"8IAe000","Dementia advance care plan declined","8IAe000",,"147","IMRD"
"8IAe200","Dementia advance care plan review declined","8IAe200",,"61","IMRD"
"9hD..00","Exception reporting: dementia quality indicators","9hD..00",,"153","IMRD"
"9hD0.00","Excepted from dementia quality indicators: Patient unsuitabl","9hD0.00",,"9911","IMRD"
"9hD1.00","Excepted from dementia quality indicators: Informed dissent","9hD1.00",,"3325","IMRD"
"9Ou..00","Dementia monitoring administration","9Ou..00",,"1138","IMRD"
"9Ou1.00","Dementia monitoring first letter","9Ou1.00",,"25479","IMRD"
"9Ou2.00","Dementia monitoring second letter","9Ou2.00",,"6491","IMRD"
"9Ou3.00","Dementia monitoring third letter","9Ou3.00",,"2702","IMRD"
"9Ou4.00","Dementia monitoring verbal invite","9Ou4.00",,"1196","IMRD"
"9Ou5.00","Dementia monitoring telephone invite","9Ou5.00",,"1457","IMRD"
"A411.00","Jakob-Creutzfeldt disease","A411.00",,"77","IMRD"
"A411000","Sporadic Creutzfeldt-Jakob disease","A411000",,"25","IMRD"
"A411011","Sporadic CJD (Creutzfeldt-Jakob disease)","A411011",,"3","IMRD"
"E00..11","Senile dementia","E00..11",,"31181","IMRD"
"E00..12","Senile/presenile dementia","E00..12",,"67337","IMRD"
"E000.00","Uncomplicated senile dementia","E000.00",,"19879","IMRD"
"E001.00","Presenile dementia","E001.00",,"2271","IMRD"
"E001000","Uncomplicated presenile dementia","E001000",,"44","IMRD"
"E001100","Presenile dementia with delirium","E001100",,"168","IMRD"
"E001200","Presenile dementia with paranoia","E001200",,"162","IMRD"
"E001300","Presenile dementia with depression","E001300",,"129","IMRD"
"E001z00","Presenile dementia NOS","E001z00",,"271","IMRD"
"E002.00","Senile dementia with depressive or paranoid features","E002.00",,"288","IMRD"
"E002000","Senile dementia with paranoia","E002000",,"613","IMRD"
"E002100","Senile dementia with depression","E002100",,"706","IMRD"
"E002z00","Senile dementia with depressive or paranoid features NOS","E002z00",,"43","IMRD"
"E003.00","Senile dementia with delirium","E003.00",,"789","IMRD"
"E012.00","Other alcoholic dementia","E012.00",,"229","IMRD"
"E012.11","Alcoholic dementia NOS","E012.11",,"1039","IMRD"
"E02y100","Drug-induced dementia","E02y100",,"38","IMRD"
"E040.11","Korsakoff's non-alcoholic psychosis","E040.11",,"411","IMRD"
"E041.00","Dementia in conditions EC","E041.00",,"2254","IMRD"
"Eu01111","[X]Predominantly cortical dementia","Eu01111",,"39","IMRD"
"Eu02.00","[X]Dementia in other diseases classified elsewhere","Eu02.00",,"1315","IMRD"
"Eu02000","[X]Dementia in Pick's disease","Eu02000",,"229","IMRD"
"Eu02100","[X]Dementia in Creutzfeldt-Jakob disease","Eu02100",,"49","IMRD"
"Eu02200","[X]Dementia in Huntington's disease","Eu02200",,"209","IMRD"
"Eu02300","[X]Dementia in Parkinson's disease","Eu02300",,"2918","IMRD"
"Eu02400","[X]Dementia in human immunodef virus [HIV] disease","Eu02400",,"31","IMRD"
"Eu02500","[X]Lewy body dementia","Eu02500",,"4324","IMRD"
"Eu02y00","[X]Dementia in other specified diseases classif elsewhere","Eu02y00",,"99","IMRD"
"Eu02z00","[X] Unspecified dementia","Eu02z00",,"53903","IMRD"
"Eu02z11","[X] Presenile dementia NOS","Eu02z11",,"84","IMRD"
"Eu02z13","[X] Primary degenerative dementia NOS","Eu02z13",,"93","IMRD"
"Eu02z14","[X] Senile dementia NOS","Eu02z14",,"14697","IMRD"
"Eu02z16","[X] Senile dementia, depressed or paranoid type","Eu02z16",,"183","IMRD"
"Eu04100","[X]Delirium superimposed on dementia","Eu04100",,"197","IMRD"
"Eu10711","[X]Alcoholic dementia NOS","Eu10711",,"792","IMRD"
"F111.00","Pick's disease","F111.00",,"307","IMRD"
"F113000","Normal pressure hydrocephalus","F113000",,"616","IMRD"
"F116.00","Lewy body disease","F116.00",,"2066","IMRD"
"F118.00","Frontotemporal degeneration","F118.00",,"233","IMRD"
"F11x700","Cerebral degeneration due to Jakob - Creutzfeldt disease","F11x700",,"106","IMRD"
"ZS7C500","Language disorder of dementia","ZS7C500",,"14","IMRD"
"F118100","Frontotemporal dementia","F118100",,"33","IMRD"
