"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"2Ba2200","SCPE class predom patt C.3 infarct of middle cerebral artery","2Ba2200",,"155","IMRD"
"5C13.00","Old cerebral infarction on imaging","5C13.00",,"164","IMRD"
"Fyu5600","[X]Other lacunar syndromes","Fyu5600",,"83","IMRD"
"G630.00","Basilar artery occlusion","G630.00",,"239","IMRD"
"G631.00","Carotid artery occlusion","G631.00",,"2791","IMRD"
"G632.00","Vertebral artery occlusion","G632.00",,"302","IMRD"
"G63y000","Cerebral infarct due to thrombosis of precerebral arteries","G63y000",,"1879","IMRD"
"G63y100","Cerebral infarction due to embolism of precerebral arteries","G63y100",,"476","IMRD"
"G64..00","Cerebral arterial occlusion","G64..00",,"26875","IMRD"
"G64..11","CVA - cerebral artery occlusion","G64..11",,"37161","IMRD"
"G64..12","Infarction - cerebral","G64..12",,"4026","IMRD"
"G64..13","Stroke due to cerebral arterial occlusion","G64..13",,"6141","IMRD"
"G640.00","Cerebral thrombosis","G640.00",,"4420","IMRD"
"G640000","Cerebral infarction due to thrombosis of cerebral arteries","G640000",,"879","IMRD"
"G641.00","Cerebral embolism","G641.00",,"1286","IMRD"
"G641.11","Cerebral embolus","G641.11",,"90","IMRD"
"G641000","Cerebral infarction due to embolism of cerebral arteries","G641000",,"282","IMRD"
"G64z.00","Cerebral infarction NOS","G64z.00",,"36702","IMRD"
"G64z.11","Brainstem infarction NOS","G64z.11",,"342","IMRD"
"G64z.12","Cerebellar infarction","G64z.12",,"8377","IMRD"
"G64z000","Brainstem infarction","G64z000",,"842","IMRD"
"G64z100","Wallenberg syndrome","G64z100",,"49","IMRD"
"G64z111","Lateral medullary syndrome","G64z111",,"328","IMRD"
"G64z200","Left sided cerebral infarction","G64z200",,"3099","IMRD"
"G64z300","Right sided cerebral infarction","G64z300",,"2911","IMRD"
"G64z400","Infarction of basal ganglia","G64z400",,"1682","IMRD"
"G650.00","Basilar artery syndrome","G650.00",,"1041","IMRD"
"G650.11","Insufficiency - basilar artery","G650.11",,"3803","IMRD"
"G651.00","Vertebral artery syndrome","G651.00",,"197","IMRD"
"G651000","Vertebro-basilar artery syndrome","G651000",,"1215","IMRD"
"G652.00","Subclavian steal syndrome","G652.00",,"631","IMRD"
"G653.00","Carotid artery syndrome hemispheric","G653.00",,"83","IMRD"
"G654.00","Multiple and bilateral precerebral artery syndromes","G654.00",,"10","IMRD"
"G656.00","Vertebrobasilar insufficiency","G656.00",,"2114","IMRD"
"G660.00","Middle cerebral artery syndrome","G660.00",,"966","IMRD"
"G661.00","Anterior cerebral artery syndrome","G661.00",,"498","IMRD"
"G662.00","Posterior cerebral artery syndrome","G662.00",,"631","IMRD"
"G663.00","Brain stem stroke syndrome","G663.00",,"1378","IMRD"
"G664.00","Cerebellar stroke syndrome","G664.00",,"1767","IMRD"
"G665.00","Pure motor lacunar syndrome","G665.00",,"652","IMRD"
"G666.00","Pure sensory lacunar syndrome","G666.00",,"246","IMRD"
"G667.00","Left sided CVA","G667.00",,"7355","IMRD"
"G668.00","Right sided CVA","G668.00",,"6995","IMRD"
"G671.00","Generalised ischaemic cerebrovascular disease NOS","G671.00",,"256","IMRD"
"G671z00","Generalised ischaemic cerebrovascular disease NOS","G671z00",,"169","IMRD"
"G676000","Cereb infarct due cerebral venous thrombosis, nonpyogenic","G676000",,"363","IMRD"
"G677000","Occlusion and stenosis of middle cerebral artery","G677000",,"80","IMRD"
"G677100","Occlusion and stenosis of anterior cerebral artery","G677100",,"26","IMRD"
"G677200","Occlusion and stenosis of posterior cerebral artery","G677200",,"27","IMRD"
"G677400","Occlusion+stenosis of multiple and bilat cerebral arteries","G677400",,"4","IMRD"
"G6W..00","Cereb infarct due unsp occlus/stenos precerebr arteries","G6W..00",,"638","IMRD"
"G6X..00","Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","G6X..00",,"2914","IMRD"
"Gyu6300","[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","Gyu6300",,"123","IMRD"
"Gyu6400","[X]Other cerebral infarction","Gyu6400",,"848","IMRD"
"Gyu6500","[X]Occlusion and stenosis of other precerebral arteries","Gyu6500",,"18","IMRD"
"Gyu6600","[X]Occlusion and stenosis of other cerebral arteries","Gyu6600",,"64","IMRD"
"Gyu6G00","[X]Cereb infarct due unsp occlus/stenos precerebr arteries","Gyu6G00",,"38","IMRD"
