"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"324","Depressive disorder NEC","E2B..00",,"2151019","CPRD_GOLD"
"543","[X]Depression NOS","Eu32z11",,"920170","CPRD_GOLD"
"595","Endogenous depression","E112.14",,"74177","CPRD_GOLD"
"655","Anxiety with depression","E200300",,"1076791","CPRD_GOLD"
"1055","Agitated depression","E135.00",,"55299","CPRD_GOLD"
"1131","Neurotic depression reactive type","E204.00",,"303122","CPRD_GOLD"
"1533","Brief depressive reaction","E290.00",,"5144","CPRD_GOLD"
"2560","Depressive psychoses","E11..12",,"6867","CPRD_GOLD"
"2639","Postnatal depression","E204.11",,"173539","CPRD_GOLD"
"2716","H/O: depression","1465.00",,"406985","CPRD_GOLD"
"2923","Puerperal depression","62T1.00",,"10955","CPRD_GOLD"
"2970","[X]Depressive episode, unspecified","Eu32z00",,"139558","CPRD_GOLD"
"2972","Postviral depression","E2B0.00",,"1539","CPRD_GOLD"
"3291","[X]Depressive disorder NOS","Eu32z12",,"20638","CPRD_GOLD"
"3292","[X]Recurrent depressive disorder","Eu33.00",,"53836","CPRD_GOLD"
"4323","Chronic depression","E2B1.00",,"68903","CPRD_GOLD"
"4639","[X]Depressive episode","Eu32.00",,"486703","CPRD_GOLD"
"4979","[X]Postpartum depression NOS","Eu53012",,"471","CPRD_GOLD"
"5879","Agitated depression","E112.11",,"54761","CPRD_GOLD"
"5987","[X] Reactive depression NOS","Eu32z14",,"105237","CPRD_GOLD"
"6482","Recurrent depression","E113700",,"67452","CPRD_GOLD"
"6546","Endogenous depression first episode","E112.12",,"19556","CPRD_GOLD"
"6854","[X]Other depressive episodes","Eu32y00",,"3834","CPRD_GOLD"
"6932","Endogenous depression - recurrent","E113.11",,"107496","CPRD_GOLD"
"6950","Endogenous depression first episode","E112.13",,"84636","CPRD_GOLD"
"7011","Single major depressive episode NOS","E112z00",,"3122","CPRD_GOLD"
"7604","[X]Single episode of reactive depression","Eu32.13",,"8509","CPRD_GOLD"
"7737","[X]Neurotic depression","Eu34113",,"5515","CPRD_GOLD"
